,context,condition,name,day,pause
115,fear,dreadd_dcz,M3,1,0.055990367248645395
116,fear,dreadd_dcz,M3,2,0.4830245368052078
117,fear,dreadd_dcz,M3,3,0.6750725507855498
118,fear,dreadd_dcz,M3,4,0.4213849083074456
119,fear,dreadd_dcz,M4,1,0.06370385232744784
120,fear,dreadd_dcz,M4,2,0.9472
121,fear,dreadd_dcz,M4,3,0.6083909081806348
122,fear,dreadd_dcz,M4,4,0.1568174977425504
123,fear,dreadd_dcz,M5,1,0.11088810837932765
124,fear,dreadd_dcz,M5,2,0.8463231615807904
125,fear,dreadd_dcz,M5,3,0.4735049584293299
126,fear,dreadd_dcz,M5,4,0.5698838606327593
127,fear,dreadd_dcz,R3,1,0.025236275889804947
128,fear,dreadd_dcz,R3,2,0.8576430572228891
129,fear,dreadd_dcz,R3,3,0.7382906325060048
130,fear,dreadd_dcz,R3,4,0.25353667101434735
131,fear,dreadd_dcz,R4,1,0.1579953708362685
132,fear,dreadd_dcz,R4,2,0.6580212297216103
133,fear,dreadd_dcz,R4,3,0.7169018312818973
134,fear,dreadd_dcz,R4,4,0.18969155028634582
135,fear,dreadd_dcz,X2,1,0.23825268009217512
136,fear,dreadd_dcz,X2,2,0.6899969960949234
137,fear,dreadd_dcz,X2,3,0.5415415415415415
138,fear,dreadd_dcz,X2,4,0.3458955597875113
139,fear,dreadd_dcz,X7,1,0.24253057950671747
140,fear,dreadd_dcz,X7,2,0.7815126050420168
141,fear,dreadd_dcz,X7,3,0.7686843421710855
142,fear,dreadd_dcz,X7,4,0.47064128256513027
143,fear,dreadd_dcz,Z1,1,0.24170426065162906
144,fear,dreadd_dcz,Z1,2,0.6901211089980983
145,fear,dreadd_dcz,Z1,3,0.5495044549003905
146,fear,dreadd_dcz,Z1,4,0.4743011722272317
147,fear,dreadd_dcz,Z4,1,0.19401786610458696
148,fear,dreadd_dcz,Z4,2,0.7396396396396396
149,fear,dreadd_dcz,Z4,3,0.585678517776665
150,fear,dreadd_dcz,Z4,4,0.418504410585405
151,fear,dreadd_mcherry_control,AB1,1,0.20700030087253035
152,fear,dreadd_mcherry_control,AB1,2,0.07353827606992164
153,fear,dreadd_mcherry_control,AB1,3,0.5607532805769808
154,fear,dreadd_mcherry_control,AB1,4,0.6100981767180925
155,fear,dreadd_mcherry_control,X5,1,0.34786967418546366
156,fear,dreadd_mcherry_control,X5,2,0.9074629851940776
157,fear,dreadd_mcherry_control,X5,3,0.42502253831513576
158,fear,dreadd_mcherry_control,X5,4,0.38564842653838444
159,fear,dreadd_mcherry_control,X6,1,0.25829407637566404
160,fear,dreadd_mcherry_control,X6,2,0.5897718174539631
161,fear,dreadd_mcherry_control,X6,3,0.6673003802281369
162,fear,dreadd_mcherry_control,X6,4,0.6439151321056845
163,fear,dreadd_mcherry_control,X9,1,0.552916416115454
164,fear,dreadd_mcherry_control,X9,2,0.552916416115454
165,fear,dreadd_mcherry_control,X9,3,0.512471201041771
166,fear,dreadd_mcherry_control,X9,4,0.5628004807692307
167,fear,dreadd_saline_control,K1,1,0.2735111289352316
168,fear,dreadd_saline_control,K1,2,0.16940987555198717
169,fear,dreadd_saline_control,K1,3,0.23099297893681042
170,fear,dreadd_saline_control,K1,4,0.3540204531782635
171,fear,dreadd_saline_control,K4,1,0.262867462626668
172,fear,dreadd_saline_control,K4,2,0.3883319967923015
173,fear,dreadd_saline_control,K4,3,0.24518265756724208
174,fear,dreadd_saline_control,K4,4,0.6245744041658322
175,fear,dreadd_saline_control,X1,1,0.29311554263954304
176,fear,dreadd_saline_control,X1,2,0.7197197197197197
177,fear,dreadd_saline_control,X1,3,0.6377653183820585
178,fear,dreadd_saline_control,X1,4,0.4381324516581505
179,fear,dreadd_saline_control,X10,1,0.19764989454655016
180,fear,dreadd_saline_control,X10,2,0.8114245698279312
181,fear,dreadd_saline_control,X10,3,0.6954563650920736
182,fear,dreadd_saline_control,X10,4,0.3461345633209666
183,fear,dreadd_saline_control,Z3,1,0.3209987966305656
184,fear,dreadd_saline_control,Z3,2,0.7793455418793155
185,fear,dreadd_saline_control,Z3,3,0.6416057663429773
186,fear,dreadd_saline_control,Z3,4,0.5073249046758981
187,fear,nr_no_shock_control,O5,1,0.0
188,fear,nr_no_shock_control,O5,2,0.020749395648670427
189,fear,nr_no_shock_control,O5,3,0.09120193275619086
190,fear,nr_no_shock_control,O5,4,0.004633360193392426
191,fear,nr_no_shock_control,O7,1,0.17971887550200802
192,fear,nr_no_shock_control,O7,2,0.0251559669953713
193,fear,nr_no_shock_control,O7,3,0.04891304347826087
194,fear,nr_no_shock_control,O7,4,0.030388408130408533
195,fear,nr_no_shock_control,O9,1,0.18736164218152546
196,fear,nr_no_shock_control,O9,2,0.07020720177026755
197,fear,nr_no_shock_control,O9,3,0.15902694008846
198,fear,nr_no_shock_control,O9,4,0.21531966224366708
200,fear,nr_no_shock_control,V2,1,0.0
201,fear,nr_no_shock_control,V2,2,0.014868394615230058
202,fear,nr_no_shock_control,V2,3,0.0
203,fear,nr_no_shock_control,V2,4,0.06120394604388967
205,fear,nr_no_shock_control,V3,1,0.05404862366887683
206,fear,nr_no_shock_control,V3,2,0.013502619911326078
207,fear,nr_no_shock_control,V3,3,0.016720386784850928
208,fear,nr_no_shock_control,V3,4,0.03002216401370139
210,fear,nr_no_shock_control,V4,1,0.12359550561797752
211,fear,nr_no_shock_control,V4,2,0.24008016032064128
212,fear,nr_no_shock_control,V4,3,0.04139871382636656
213,fear,nr_no_shock_control,V4,4,0.13293172690763053
214,fear,nr_standard,A1,1,0.17654147419160474
215,fear,nr_standard,A1,2,0.4689821321019875
216,fear,nr_standard,A1,3,0.4633119486768244
217,fear,nr_standard,A1,4,0.3427710843373494
218,fear,nr_standard,A2,1,0.0
219,fear,nr_standard,A2,2,0.3578018451664661
220,fear,nr_standard,A2,3,0.5192230676812175
221,fear,nr_standard,A2,4,0.6458333333333334
222,fear,nr_standard,A4,1,0.08100502512562814
223,fear,nr_standard,A4,2,0.27243525396506724
224,fear,nr_standard,A4,3,0.49366324683162344
225,fear,nr_standard,A4,4,0.16398390342052313
226,fear,nr_standard,B8,1,0.14656734447352526
227,fear,nr_standard,B8,2,0.4015653220951234
228,fear,nr_standard,B8,3,0.2918256678047801
229,fear,nr_standard,B8,4,0.03670835014118596
230,fear,nr_standard,C10,1,0.06376986521826594
231,fear,nr_standard,C10,2,0.46712246129097124
232,fear,nr_standard,C10,3,0.22772078052705694
233,fear,nr_standard,C10,4,0.09862847922549416
234,fear,nr_standard,C4,1,0.2590808749749147
235,fear,nr_standard,C4,2,0.6574519230769231
236,fear,nr_standard,C4,3,0.6798798798798799
237,fear,nr_standard,C4,4,0.583216503104346
238,fear,nr_standard,C7,1,0.042943548387096776
239,fear,nr_standard,C7,2,0.5698816924002407
240,fear,nr_standard,C7,3,0.3126760563380282
241,fear,nr_standard,C7,4,0.18405155054369715
242,fear,nr_standard,E5,1,0.07597989949748744
243,fear,nr_standard,E5,2,0.5142570281124498
244,fear,nr_standard,E5,3,0.37806347930895945
245,fear,nr_standard,E5,4,0.016307630360378498
246,fear,nr_standard,MR3a,1,0.17049114331723028
247,fear,nr_standard,MR3a,2,0.6350321027287319
248,fear,nr_standard,MR3a,3,0.34064386317907447
249,fear,nr_standard,MR3a,4,0.05069682892344981
250,fear,nr_standard,MR3e,1,0.04397821262860601
251,fear,nr_standard,MR3e,2,0.3305084745762712
252,fear,nr_standard,MR3e,3,0.08180165623106443
253,fear,nr_standard,MR3e,4,0.08210313447927199
254,fear,nr_standard,MR4d,1,0.14409687184661957
255,fear,nr_standard,MR4d,2,0.43492255079460873
256,fear,nr_standard,MR4d,3,0.44122383252818037
257,fear,nr_standard,MR4d,4,0.31828260431364647
258,fear,nr_standard,MR5b,1,0.30625
259,fear,nr_standard,MR5b,2,0.6008420208500401
260,fear,nr_standard,MR5b,3,0.5477003414340229
261,fear,nr_standard,MR5b,4,0.2964307320024198
262,fear,nr_standard,MR6a,1,0.02743041549011698
263,fear,nr_standard,MR6a,2,0.8386063275931117
264,fear,nr_standard,MR6a,3,0.3610776035383997
265,fear,nr_standard,MR6a,4,0.21777599034787853
266,fear,nr_standard,MR6b,1,0.15116747181964574
267,fear,nr_standard,MR6b,2,0.37123342707914825
268,fear,nr_standard,MR6b,3,0.32228915662650603
269,fear,nr_standard,MR6b,4,0.3597107852982527
270,fear,nr_standard,MR6e,1,0.09311250252474247
271,fear,nr_standard,MR6e,2,0.3984312148028962
272,fear,nr_standard,MR6e,3,0.6840417000801925
273,fear,nr_standard,MR6e,4,0.26948640483383685
274,fear,nr_standard,MR7c,1,0.0
275,fear,nr_standard,MR7c,2,0.40610564370355495
276,fear,nr_standard,MR7c,3,0.4184411410204902
277,fear,nr_standard,MR7c,4,0.23979078656205996
278,fear,nr_standard,MR7e,1,0.13306532663316584
279,fear,nr_standard,MR7e,2,0.3582360048328635
280,fear,nr_standard,MR7e,3,0.42320064334539603
281,fear,nr_standard,MR7e,4,0.20329780816408607
282,fear,nr_standard,MR8a,1,0.06890317396544797
283,fear,nr_standard,MR8a,2,0.4718493287918253
284,fear,nr_standard,MR8a,3,0.5758973330659716
285,fear,nr_standard,MR8a,4,0.46204819277108433
286,fear,nr_standard,MR8c,1,0.19311316955296012
287,fear,nr_standard,MR8c,2,0.369975884244373
288,fear,nr_standard,MR8c,3,0.23143315937374548
289,fear,nr_standard,MR8c,4,0.18685955394816153
290,fear,nr_standard,RE6e,1,0.4408040201005025
291,fear,nr_standard,RE6e,2,0.5860474467229594
292,fear,nr_standard,RE6e,3,0.7479446561058752
293,fear,nr_standard,RE6e,4,0.7065195586760281
294,safe,dreadd_dcz,M3,1,0.006720834587220384
295,safe,dreadd_dcz,M3,2,0.4895895895895896
296,safe,dreadd_dcz,M3,3,0.17743229689067203
297,safe,dreadd_dcz,M3,4,0.0714715920497892
298,safe,dreadd_dcz,M4,1,0.06093153985143546
299,safe,dreadd_dcz,M4,2,0.9037807561512302
300,safe,dreadd_dcz,M4,3,0.005230862086309225
301,safe,dreadd_dcz,M4,4,0.08509996985833417
302,safe,dreadd_dcz,M5,1,0.17169792397954067
303,safe,dreadd_dcz,M5,2,0.4506562468690512
304,safe,dreadd_dcz,M5,3,0.7150435391852668
305,safe,dreadd_dcz,M5,4,0.34565674782085964
306,safe,dreadd_dcz,R3,1,0.08243691565296069
307,safe,dreadd_dcz,R3,2,0.40568682418902685
308,safe,dreadd_dcz,R3,3,0.296370563465009
309,safe,dreadd_dcz,R3,4,0.10360405581768899
310,safe,dreadd_dcz,R4,1,0.2096417069243156
311,safe,dreadd_dcz,R4,2,0.3822939643071987
312,safe,dreadd_dcz,R4,3,0.23300190820528272
313,safe,dreadd_dcz,R4,4,0.19599959794954266
314,safe,dreadd_dcz,X2,1,0.13763031275060145
315,safe,dreadd_dcz,X2,2,0.4891337005508262
316,safe,dreadd_dcz,X2,3,0.4306891025641026
317,safe,dreadd_dcz,X2,4,0.4459256289465771
318,safe,dreadd_dcz,X7,1,0.4661789758492835
319,safe,dreadd_dcz,X7,2,0.6560216237861648
320,safe,dreadd_dcz,X7,3,0.6642985791474885
321,safe,dreadd_dcz,X7,4,0.7414673205885297
322,safe,dreadd_dcz,Z1,1,0.47871381348292097
323,safe,dreadd_dcz,Z1,2,0.6497497497497497
324,safe,dreadd_dcz,Z1,3,0.4593267882187938
325,safe,dreadd_dcz,Z1,4,0.420625375826819
326,safe,dreadd_dcz,Z4,1,0.5477764423076923
327,safe,dreadd_dcz,Z4,2,0.5235282338806568
328,safe,dreadd_dcz,Z4,3,0.5772813783431834
329,safe,dreadd_dcz,Z4,4,0.48141841129920865
330,safe,dreadd_mcherry_control,AB1,1,0.7028028028028028
331,safe,dreadd_mcherry_control,AB1,2,0.5049574361542314
332,safe,dreadd_mcherry_control,AB1,3,0.6824824824824824
333,safe,dreadd_mcherry_control,AB1,4,0.7792012811530378
334,safe,dreadd_mcherry_control,X5,1,0.44898777310082183
335,safe,dreadd_mcherry_control,X5,2,0.21759630818619582
336,safe,dreadd_mcherry_control,X5,3,0.6568882659191029
337,safe,dreadd_mcherry_control,X5,4,0.7013416099319183
338,safe,dreadd_mcherry_control,X6,1,0.38599479062312164
339,safe,dreadd_mcherry_control,X6,2,0.5108129755706848
340,safe,dreadd_mcherry_control,X6,3,0.7071242745647388
341,safe,dreadd_mcherry_control,X6,4,0.5589030127114403
342,safe,dreadd_mcherry_control,X9,1,0.6439014620468656
343,safe,dreadd_mcherry_control,X9,2,0.6439014620468656
344,safe,dreadd_mcherry_control,X9,3,0.4999499048191564
345,safe,dreadd_mcherry_control,X9,4,0.5790686029043566
346,safe,dreadd_saline_control,K1,1,0.20114365971107545
347,safe,dreadd_saline_control,K1,2,0.24413239719157473
348,safe,dreadd_saline_control,K1,3,0.1117688371626367
349,safe,dreadd_saline_control,K1,4,0.42818482509772476
350,safe,dreadd_saline_control,K4,1,0.07030936118923263
351,safe,dreadd_saline_control,K4,2,0.3201763173712683
352,safe,dreadd_saline_control,K4,3,0.31862843392821333
353,safe,dreadd_saline_control,K4,4,0.42377468176806654
354,safe,dreadd_saline_control,X1,1,0.46835569797716803
355,safe,dreadd_saline_control,X1,2,0.4807094899288506
356,safe,dreadd_saline_control,X1,3,0.5959150981177412
357,safe,dreadd_saline_control,X1,4,0.6709038134320888
358,safe,dreadd_saline_control,X10,1,0.37933801404212636
359,safe,dreadd_saline_control,X10,2,0.6736431003404767
360,safe,dreadd_saline_control,X10,3,0.5841514726507714
361,safe,dreadd_saline_control,X10,4,0.4906246866539657
362,safe,dreadd_saline_control,Z3,1,0.45511921458625526
363,safe,dreadd_saline_control,Z3,2,0.6445668502754132
364,safe,dreadd_saline_control,Z3,3,0.5997198038627038
365,safe,dreadd_saline_control,Z3,4,0.4672747318833317
366,safe,nr_no_shock_control,O5,1,0.0
367,safe,nr_no_shock_control,O5,2,0.05087472350693746
368,safe,nr_no_shock_control,O5,3,0.061191626409017714
369,safe,nr_no_shock_control,O5,4,0.026961770623742453
370,safe,nr_no_shock_control,O7,1,0.00927232412819996
371,safe,nr_no_shock_control,O7,2,0.23313253012048193
372,safe,nr_no_shock_control,O7,3,0.06868076535750252
373,safe,nr_no_shock_control,O7,4,0.09068972451236679
374,safe,nr_no_shock_control,O9,1,0.12001610954490535
375,safe,nr_no_shock_control,O9,2,0.24668541582965045
376,safe,nr_no_shock_control,O9,3,0.2189384800965018
377,safe,nr_no_shock_control,O9,4,0.2604501607717042
379,safe,nr_no_shock_control,V2,1,0.07279308264628996
380,safe,nr_no_shock_control,V2,2,0.17134831460674158
381,safe,nr_no_shock_control,V2,3,0.024723618090452263
382,safe,nr_no_shock_control,V2,4,0.0
384,safe,nr_no_shock_control,V3,1,0.2800161160354553
385,safe,nr_no_shock_control,V3,2,0.016294508147254073
386,safe,nr_no_shock_control,V3,3,0.06603583652103885
387,safe,nr_no_shock_control,V3,4,0.009264853977844914
389,safe,nr_no_shock_control,V4,1,0.5375977541608181
390,safe,nr_no_shock_control,V4,2,0.21796671345498295
391,safe,nr_no_shock_control,V4,3,0.11457286432160804
392,safe,nr_no_shock_control,V4,4,0.13553187210939072
393,safe,nr_standard,A1,1,0.3434869739478958
394,safe,nr_standard,A1,2,0.20788098110172898
395,safe,nr_standard,A1,3,0.4531782634850612
396,safe,nr_standard,A1,4,0.24738535800482703
397,safe,nr_standard,A2,1,0.1452098815023097
398,safe,nr_standard,A2,2,0.06966472595864284
399,safe,nr_standard,A2,3,0.63115738886664
400,safe,nr_standard,A2,4,0.3431667670078266
401,safe,nr_standard,A4,1,0.18949909474954738
402,safe,nr_standard,A4,2,0.37057877813504825
403,safe,nr_standard,A4,3,0.46868727418707345
404,safe,nr_standard,A4,4,0.11761158021712907
405,safe,nr_standard,B8,1,0.08128772635814889
406,safe,nr_standard,B8,2,0.20177026755180044
407,safe,nr_standard,B8,3,0.22231188218680653
408,safe,nr_standard,B8,4,0.10766753874018917
409,safe,nr_standard,C10,1,0.07122736418511066
410,safe,nr_standard,C10,2,0.22383252818035426
411,safe,nr_standard,C10,3,0.08034635521546517
412,safe,nr_standard,C10,4,0.03263497179693795
413,safe,nr_standard,C4,1,0.3141939369604497
414,safe,nr_standard,C4,2,0.6843581013418786
415,safe,nr_standard,C4,3,0.6547857428914697
416,safe,nr_standard,C4,4,0.5699979971960745
417,safe,nr_standard,C7,1,0.14556451612903226
418,safe,nr_standard,C7,2,0.3811722199919711
419,safe,nr_standard,C7,3,0.20305896558663716
420,safe,nr_standard,C7,4,0.15226586102719034
421,safe,nr_standard,E5,1,0.03558504221954162
422,safe,nr_standard,E5,2,0.29736789230460114
423,safe,nr_standard,E5,3,0.20591192439171527
424,safe,nr_standard,E5,4,0.1258291457286432
425,safe,nr_standard,MR3a,1,0.15923309788092835
426,safe,nr_standard,MR3a,2,0.24151095037170986
427,safe,nr_standard,MR3a,3,0.1123663506152915
428,safe,nr_standard,MR3a,4,0.04462843295638126
429,safe,nr_standard,MR3e,1,0.2484422110552764
430,safe,nr_standard,MR3e,2,0.12699052610360814
431,safe,nr_standard,MR3e,3,0.02933441230022254
432,safe,nr_standard,MR3e,4,0.04772497472194136
433,safe,nr_standard,MR4d,1,0.013933764135702747
434,safe,nr_standard,MR4d,2,0.18984280532043532
435,safe,nr_standard,MR4d,3,0.2120905782450465
436,safe,nr_standard,MR4d,4,0.2855703345425232
437,safe,nr_standard,MR5b,1,0.2757716360702038
438,safe,nr_standard,MR5b,2,0.4640417838489353
439,safe,nr_standard,MR5b,3,0.14320388349514562
