,context,condition,name,day,pause
215,fear,nr_standard,A1,2,0.4689821321019875
216,fear,nr_standard,A1,3,0.4633119486768244
217,fear,nr_standard,A1,4,0.3427710843373494
219,fear,nr_standard,A2,2,0.3578018451664661
220,fear,nr_standard,A2,3,0.5192230676812175
221,fear,nr_standard,A2,4,0.6458333333333334
223,fear,nr_standard,A4,2,0.27243525396506724
224,fear,nr_standard,A4,3,0.49366324683162344
225,fear,nr_standard,A4,4,0.16398390342052313
227,fear,nr_standard,B8,2,0.4015653220951234
228,fear,nr_standard,B8,3,0.2918256678047801
229,fear,nr_standard,B8,4,0.03670835014118596
259,fear,nr_standard,MR5b,2,0.6008420208500401
260,fear,nr_standard,MR5b,3,0.5477003414340229
261,fear,nr_standard,MR5b,4,0.2964307320024198
267,fear,nr_standard,MR6b,2,0.37123342707914825
268,fear,nr_standard,MR6b,3,0.32228915662650603
269,fear,nr_standard,MR6b,4,0.3597107852982527
275,fear,nr_standard,MR7c,2,0.40610564370355495
276,fear,nr_standard,MR7c,3,0.4184411410204902
277,fear,nr_standard,MR7c,4,0.23979078656205996
279,fear,nr_standard,MR7e,2,0.3582360048328635
280,fear,nr_standard,MR7e,3,0.42320064334539603
281,fear,nr_standard,MR7e,4,0.20329780816408607
291,fear,nr_standard,RE6e,2,0.5860474467229594
292,fear,nr_standard,RE6e,3,0.7479446561058752
293,fear,nr_standard,RE6e,4,0.7065195586760281
394,safe,nr_standard,A1,2,0.20788098110172898
395,safe,nr_standard,A1,3,0.4531782634850612
396,safe,nr_standard,A1,4,0.24738535800482703
398,safe,nr_standard,A2,2,0.06966472595864284
399,safe,nr_standard,A2,3,0.63115738886664
400,safe,nr_standard,A2,4,0.3431667670078266
402,safe,nr_standard,A4,2,0.37057877813504825
403,safe,nr_standard,A4,3,0.46868727418707345
404,safe,nr_standard,A4,4,0.11761158021712907
406,safe,nr_standard,B8,2,0.20177026755180044
407,safe,nr_standard,B8,3,0.22231188218680653
408,safe,nr_standard,B8,4,0.10766753874018917
438,safe,nr_standard,MR5b,2,0.4640417838489353
439,safe,nr_standard,MR5b,3,0.14320388349514562
440,safe,nr_standard,MR5b,4,0.153939149707838
446,safe,nr_standard,MR6b,2,0.1915192926045016
447,safe,nr_standard,MR6b,3,0.29486150140505824
448,safe,nr_standard,MR6b,4,0.40224583918187284
454,safe,nr_standard,MR7c,2,0.011088709677419355
455,safe,nr_standard,MR7c,3,0.3830385852090032
456,safe,nr_standard,MR7c,4,0.13370922271445831
458,safe,nr_standard,MR7e,2,0.35908267954133977
459,safe,nr_standard,MR7e,3,0.40430670154960757
460,safe,nr_standard,MR7e,4,0.2901346192485433
470,safe,nr_standard,RE6e,2,0.43816609692338626
471,safe,nr_standard,RE6e,3,0.707321965897693
472,safe,nr_standard,RE6e,4,0.6455823293172691
